team,playerId,firstName,lastName,gamesPlayed,wins,losses,otLosses,goalsAgainstAverage,savePctg,shutouts,gamesStarted,goalsAgainst,shotsAgainst
ANA,8475852,Petr,Mrazek,10,3,5,,4.070688,,0,8,35,247
ANA,8478024,Ville,Husso,16,8,7,,3.142645,,0,15,47,440
ANA,8480843,Lukas,Dostal,49,29,15,,3.012094,,0,48,143,1340
ANA,8483746,Vyacheslav,Buteyets,1,0,0,,9.0,,0,0,3,13
BOS,8476914,Joonas,Korpisalo,27,12,9,,3.284598,,1,25,82,752
BOS,8480022,Michael,DiPietro,1,0,0,,0.0,,0,0,0,2
BOS,8480280,Jeremy,Swayman,48,28,15,,2.718301,,1,47,129,1397
BUF,8479312,Alex,Lyon,34,20,8,,2.644954,,3,32,85,955
BUF,8480045,Ukko-Pekka,Luukkonen,29,17,8,,2.595556,,1,28,72,785
BUF,8481551,Colten,Ellis,13,7,4,,3.113903,,0,12,38,367
CAR,8475883,Frederik,Andersen,30,13,12,,3.153585,,0,30,95,739
CAR,8480051,Cayden,Primeau,3,2,1,,4.29831,,0,3,13,80
CAR,8481611,Pyotr,Kochetkov,9,6,2,,2.325819,,1,8,19,189
CAR,8483548,Brandon,Bussi,33,26,6,,2.465836,,2,33,82,778
CBJ,8478007,Elvis,Merzlikins,28,14,9,,3.347084,,1,27,87,755
CBJ,8482982,Jet,Greaves,46,24,13,,2.565664,,2,44,117,1297
CGY,8481692,Dustin,Wolf,51,21,25,,2.953898,,2,49,140,1368
CGY,8482445,Devin,Cooley,26,9,9,,2.493163,,0,22,59,697
CHI,8481519,Spencer,Knight,47,18,19,,2.636397,,3,47,124,1357
CHI,8482123,Drew,Commesso,3,2,1,,2.31129,,1,3,7,85
CHI,8482821,Arvid,Soderblom,22,7,11,,3.685274,,1,21,79,676
COL,8475809,Scott,Wedgewood,39,26,5,,2.18753,,2,38,81,969
COL,8478406,Mackenzie,Blackwood,32,20,8,,2.41629,,3,29,71,752
COL,8481529,Trent,Miner,4,1,0,,2.029026,,1,3,8,104
DAL,8479193,Casey,DeSmith,27,14,7,,2.402644,,1,25,63,682
DAL,8479979,Jake,Oettinger,46,29,10,,2.633569,,2,46,119,1194
DET,8475660,Cam,Talbot,28,12,8,,3.030568,,0,23,77,708
DET,8476434,John,Gibson,48,26,17,,2.550826,,4,48,117,1246
EDM,8475717,Calvin,Pickard,16,5,6,,3.679988,,0,13,53,410
EDM,8477465,Tristan,Jarry,30,17,9,,3.342618,,2,27,91,779
EDM,8478971,Connor,Ingram,24,11,8,,2.832236,,1,22,62,566
FLA,8475683,Sergei,Bobrovsky,48,26,20,,3.019272,,4,47,141,1156
FLA,8480193,Daniil,Tarasov,24,9,12,,3.00508,,0,23,70,670
LAK,8475311,Darcy,Kuemper,45,17,13,,2.656077,,2,45,115,1120
LAK,8476341,Anton,Forsberg,29,11,11,,2.841501,,2,25,78,782
LAK,8477831,Pheonix,Copley,1,0,1,,3.073421,,0,1,3,28
MIN,8479406,Filip,Gustavsson,45,26,12,,2.513982,,4,44,112,1249
MIN,8482661,Jesper,Wallstedt,30,14,8,,2.75367,,4,28,78,880
MTL,8478470,Samuel,Montembeault,25,10,8,,3.426879,,0,23,81,635
MTL,8482487,Jakub,Dobes,35,23,8,,2.881058,,0,34,98,942
MTL,8484170,Jacob,Fowler,13,6,5,,2.715517,,1,13,35,348
NJD,8474593,Jacob,Markstrom,39,21,16,,3.096361,,0,38,116,1003
NJD,8474596,Jake,Allen,32,14,16,,2.677386,,1,31,84,882
NJD,8482076,Nico,Daws,1,1,0,,1.0,,0,1,1,31
NSH,8477424,Juuse,Saros,53,26,19,,3.113594,,0,53,159,1513
NSH,8481020,Justus,Annunen,23,8,9,,2.886809,,0,18,58,567
NYI,8477405,Marcus,Hogberg,1,0,0,,8.899876,,0,0,2,7
NYI,8478009,Ilya,Sorokin,46,26,18,,2.517019,,7,45,114,1307
NYI,8479496,David,Rittich,28,14,9,,2.767306,,2,27,73,696
NYR,8471734,Jonathan,Quick,23,5,16,,3.184697,,2,22,69,622
NYR,8477484,Spencer,Martin,6,1,3,,4.128677,,0,4,20,147
NYR,8478048,Igor,Shesterkin,45,22,16,,2.585965,,1,45,115,1285
NYR,8482193,Dylan,Garand,1,0,0,,1.846154,,0,1,2,37
OTT,8473503,James,Reimer,10,6,3,,2.32232,,1,10,23,199
OTT,8476999,Linus,Ullmark,41,23,10,,2.749741,,2,41,112,993
OTT,8481544,Mads,Sogaard,2,1,0,,4.650161,,0,1,6,36
OTT,8482447,Leevi,Meriläinen,20,8,10,,3.508505,,0,19,64,457
PHI,8478435,Dan,Vladar,44,23,12,,2.428116,,0,43,103,1104
PHI,8481035,Samuel,Ersson,28,11,10,,3.280818,,0,25,87,638
PHI,8482783,Aleksei,Kolosov,4,0,2,,3.999445,,0,2,8,47
PIT,8479973,Stuart,Skinner,43,20,14,,2.881086,,2,43,121,1091
PIT,8481668,Arturs,Silovs,34,16,10,,2.985,,2,34,99,903
PIT,8483703,Sergei,Murashov,5,1,1,,2.559697,,1,4,12,116
SEA,8475831,Philipp,Grubauer,27,12,9,,2.618788,,0,23,66,726
SEA,8476899,Matt,Murray,5,0,2,,2.213171,,0,4,8,102
SEA,8478916,Joey,Daccord,43,19,18,,2.922607,,2,43,121,1201
SJS,8476316,Laurent,Brossoit,1,0,1,,6.086221,,0,1,6,23
SJS,8477968,Alex,Nedeljkovic,33,13,13,,2.995486,,0,28,94,883
SJS,8482137,Yaroslav,Askarov,40,19,17,,3.564895,,0,40,131,1145
STL,8476412,Jordan,Binnington,37,11,19,,3.395706,,1,35,117,914
STL,8480981,Joel,Hofer,38,18,11,,2.573427,,6,35,92,1016
TBL,8476883,Andrei,Vasilevskiy,49,34,12,,2.30073,,2,49,111,1267
TBL,8477990,Brandon,Halverson,1,0,0,,0.0,,0,0,0,0
TBL,8477992,Jonas,Johansson,23,10,9,,3.264993,,0,21,71,608
TOR,8476932,Anthony,Stolarz,23,9,9,,3.273633,,0,22,69,650
TOR,8479361,Joseph,Woll,35,15,13,,3.161249,,2,35,105,1102
TOR,8482515,Artur,Akhtyamov,1,0,0,,0.0,,0,0,0,5
TOR,8483710,Dennis,Hildeby,19,5,6,,2.903429,,1,13,46,511
UTA,8477970,Vitek,Vanecek,19,5,10,,2.671449,,1,17,48,450
UTA,8478872,Karel,Vejmelka,55,32,19,,2.713152,,2,55,146,1418
VAN,8477967,Thatcher,Demko,20,8,10,,2.903573,,1,20,54,514
VAN,8480238,Jiri,Patera,1,0,1,,7.392197,,0,1,7,40
VAN,8480947,Kevin,Lankinen,40,8,24,,3.633604,,0,37,133,1072
VAN,8484268,Nikita,Tolopilo,15,5,6,,3.341404,,0,12,46,427
VGK,8478499,Adin,Hill,23,9,9,,3.034276,,1,23,63,479
VGK,8479394,Carter,Hart,12,5,3,,3.276202,,0,12,36,279
VGK,8481033,Akira,Schmid,34,16,10,,2.594386,,2,29,85,791
VGK,8482761,Carl,Lindbom,8,2,4,,2.995839,,0,8,24,189
WPG,8476945,Connor,Hellebuyck,48,18,19,,2.808859,,0,48,135,1327
WPG,8477480,Eric,Comrie,22,12,9,,2.898395,,0,22,60,583
WPG,8483114,Thomas,Milic,3,0,1,,3.462371,,0,1,8,62
WSH,8479292,Charlie,Lindgren,20,9,7,,3.288272,,1,19,65,569
WSH,8480313,Logan,Thompson,50,24,20,,2.36954,,2,50,117,1369
WSH,8483532,Clay,Stevenson,3,2,1,,2.331822,,0,3,7,73
